folioproy,paterno,materno,nombre1,calidad,area_estudio,institucion_patrocinante,nota_proyecto,año_concurso,instrumento,nombre_completo
1140883,FIORE,,NICOLA,INVEST. RESPONSABLE,agronomia,Univ. De Chile,4.107,2014,REGULAR,Nicola Fiore 
1140887,BARRIENTOS,DELGADO,JAIME,INVEST. RESPONSABLE,sicologia,Univ. Catolica Del Norte,4.23,2014,REGULAR,Jaime Barrientos Delgado
1140890,ARANCIBIA,MARTINI,HECTOR,COINVESTIGADOR,sicologia,Univ. De Valparaiso,4.195,2014,REGULAR,Hector Arancibia Martini
1140901,ORREGO,TORRES,ELIZABETH,COINVESTIGADOR,cs. juridicas y pol.,Univ. De Talca,4.533,2014,REGULAR,Elizabeth Orrego Torres
1140901,CAMARGO,BRITO,RICARDO,INVEST. RESPONSABLE,cs. juridicas y pol.,Univ. De Talca,4.533,2014,REGULAR,Ricardo Camargo Brito
1140904,HERNANDEZ,RIOS,EMMA,COINVESTIGADOR,medicina g1,Univ. De Chile,4.65,2014,REGULAR,Emma Hernandez Rios
1140904,ESCOBAR,ALVAREZ,ALEJANDRO,COINVESTIGADOR,medicina g1,Univ. De Chile,4.65,2014,REGULAR,Alejandro Escobar Alvarez
1140904,BRAVO,RODRIGUEZ,DENISSE,COINVESTIGADOR,medicina g1,Univ. De Chile,4.65,2014,REGULAR,Denisse Bravo Rodriguez
1140904,VERNAL,ASTUDILLO,ROLANDO,INVEST. RESPONSABLE,medicina g1,Univ. De Chile,4.65,2014,REGULAR,Rolando Vernal Astudillo
1140905,JARA,SOSA,LILIAN,COINVESTIGADOR,medicina g1,Univ. De Chile,4.21,2014,REGULAR,Lilian Jara Sosa
1140905,MORALES,BOZO,IRENE,COINVESTIGADOR,medicina g1,Univ. De Chile,4.21,2014,REGULAR,Irene Morales Bozo
1140905,ADORNO,FARIAS,DANIELA,COINVESTIGADOR,medicina g1,Univ. De Chile,4.21,2014,REGULAR,Daniela Adorno Farias
1140905,URZUA,ORELLANA,BLANCA,INVEST. RESPONSABLE,medicina g1,Univ. De Chile,4.21,2014,REGULAR,Blanca Urzua Orellana
1140906,LEIVA,GUERRERO,MARIA,COINVESTIGADOR,educacion,Pont. Univ. Catolica De Valparaiso,4.93,2014,REGULAR,Maria Leiva Guerrero
1140906,CAMPOS,VERGARA,FABIAN,COINVESTIGADOR,educacion,Pont. Univ. Catolica De Valparaiso,4.93,2014,REGULAR,Fabian Campos Vergara
1140907,TORRES,GOMEZ,VICENTE,INVEST. RESPONSABLE,biologia 2,Univ. De Chile,4.79,2014,REGULAR,Vicente Torres Gomez
1140908,CARDENAS,MATUS,JULIO,COINVESTIGADOR,biologia 2,Univ. De Chile,4.09,2014,REGULAR,Julio Cardenas Matus
1140908,CRIOLLO,CESPEDES,ALFREDO,INVEST. RESPONSABLE,biologia 2,Univ. De Chile,4.09,2014,REGULAR,Alfredo Criollo Cespedes
1140914,PUENTES,ENCINA,ESTEBAN,COINVESTIGADOR,cs. econom/admi,Pont. Univ. Catolica De Chile,4.86,2014,REGULAR,Esteban Puentes Encina
1140914,MARTINEZ,ALVEAR,CLAUDIA,INVEST. RESPONSABLE,cs. econom/admi,Pont. Univ. Catolica De Chile,4.86,2014,REGULAR,Claudia Martinez Alvear
1140918,CONTRERAS,GUAJARDO,DANTE,INVEST. RESPONSABLE,cs. econom/admi,Univ. De Chile,4.113,2014,REGULAR,Dante Contreras Guajardo
